CNPJ do gerador;Razão Social do gerador;Estado;Município;Código da Categoria;Categoria de Atividade;Código do Detalhe;Detalhe;Ano da geração;Cód. Resíduo;Tipo de Resíduo;Quantidade Gerada;Unidade;Classificação Resíduo;Situação Cadastral
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2013;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;200,00;Litro;Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2014;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;1.200,00;Litro;Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;130899;Outros resíduos não anteriormente especificados;1.000,00;kilogramas;Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;130899;Outros resíduos não anteriormente especificados;1.920,00;kilogramas;Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130899;Outros resíduos não anteriormente especificados;28,40;kilogramas;Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;200304;Lodos de fossas sépticas;20.000,00;kilogramas;Não Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130507;Água com óleo proveniente dos separadores óleo/água;1.960,00;Litro;Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130507;Água com óleo proveniente dos separadores óleo/água;1.700,00;Litro;Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;200304;Lodos de fossas sépticas;10.000,00;kilogramas;Não Perigoso;Ativa
00.062.382/0001-88;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130899;Outros resíduos não anteriormente especificados;31,20;kilogramas;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;130899;Outros resíduos não anteriormente especificados;1.000,00;kilogramas;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;130899;Outros resíduos não anteriormente especificados;1.300,00;kilogramas;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;130899;Outros resíduos não anteriormente especificados;900,00;kilogramas;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130899;Outros resíduos não anteriormente especificados;621,05;kilogramas;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;2.560,00;Litro;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;200304;Lodos de fossas sépticas;10.000,00;kilogramas;Não Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130507;Água com óleo proveniente dos separadores óleo/água;3.870,00;Litro;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;200304;Lodos de fossas sépticas;20.000,00;kilogramas;Não Perigoso;Ativa
